id,real_text_id
0,1
1,2
2,1
3,2
4,2
5,1
6,1
7,1
8,1
9,2
10,1
11,1
12,1
13,1
14,2
15,2
16,1
17,2
18,1
19,1
20,2
21,1
22,2
23,2
24,1
25,2
26,2
27,1
28,1
29,2
30,2
31,2
32,2
33,2
34,2
35,1
36,2
37,1
38,2
39,1
40,1
41,2
42,1
43,2
44,2
45,2
46,1
47,1
48,2
49,2
50,1
51,2
52,2
53,1
54,1
55,2
56,2
57,1
58,1
59,1
60,2
61,1
62,2
63,2
64,2
65,1
66,1
67,1
68,2
69,2
70,2
71,2
72,1
73,1
74,1
75,1
76,2
77,1
78,2
79,1
80,2
81,1
82,1
83,2
84,2
85,1
86,2
87,2
88,1
89,2
90,2
91,1
92,2
93,2
94,1
